%time,field.t,field.cs1.x,field.cs1.y,field.cs1.theta,field.cs1.speed,field.cs1.acceleration,field.cs1.id,field.cs2.x,field.cs2.y,field.cs2.theta,field.cs2.speed,field.cs2.acceleration,field.cs2.id
1523727917738404989,3.20048093796,-31.1594219208,-3.307741642,0.0817386507988,13.8888893127,7.0,1,-3.30626320839,31.1593132019,4.79429578781,13.8888893127,7.0,2
1523727917838648080,3.30048799515,-29.7745723724,-3.19429326057,-0.0802434533834,13.8888893127,7.0,1,-3.19258189201,29.7744846344,4.63231372833,13.8888893127,7.0,2
1523727917938775062,3.40053105354,-28.3908348083,-3.30556797981,0.0815892517567,13.8888893127,7.0,1,-3.30362415314,28.3907260895,4.79414653778,13.8888893127,7.0,2
1523727918037486076,3.50048184395,-27.007976532,-3.1924905777,-0.080158136785,13.8888893127,7.0,1,-3.19031405449,27.0078868866,4.63239908218,13.8888893127,7.0,2
1523727918137418031,3.60037994385,-25.6249885559,-3.303586483,0.0815857797861,13.8888893127,7.0,1,-3.30117750168,25.624879837,4.79414272308,13.8888893127,7.0,2
1523727918237524032,3.70027589798,-24.2407588959,-3.19040203094,-0.0803218111396,13.8888893127,7.0,1,-3.18776011467,24.2406711578,4.63223552704,13.8888893127,7.0,2
1523727918337641000,3.80027294159,-22.8563079834,-3.30184340477,0.081595428288,13.8888893127,7.0,1,-3.29896855354,22.8561992645,4.79415273666,13.8888893127,7.0,2
1523727918438105106,3.90027594566,-21.4717769623,-3.18862080574,-0.0803476795554,13.8888893127,7.0,1,-3.18551301956,21.4716873169,4.63220930099,13.8888893127,7.0,2
1523727918537658929,4.00029492378,-20.0876865387,-3.3000690937,0.0815274938941,13.8888893127,7.0,1,-3.29672861099,20.0875797272,4.79408454895,13.8888893127,7.0,2
1523727918637531042,4.10027194023,-18.7036590576,-3.18698215485,-0.0803557857871,13.8888893127,7.0,1,-3.1834089756,18.7035713196,4.63220119476,13.8888893127,7.0,2
1523727918737998962,4.20025396347,-17.3174953461,-3.29860901833,0.0817621946335,13.8888893127,7.0,1,-3.29480242729,17.3173885345,4.79431915283,13.8888893127,7.0,2
1523727918837454080,4.30038094521,-15.935128212,-3.18533110619,-0.0799299925566,13.8888893127,7.0,1,-3.18129205704,15.9350404739,4.63262701035,13.8888893127,7.0,2
1523727918938322067,4.40024495125,-14.5492324829,-3.29634213448,0.0821509286761,13.8888893127,7.0,1,-3.29207015038,14.5491256714,4.79470825195,13.8888893127,7.0,2
1523727919038964986,4.5003490448,-13.1639194489,-3.18228077888,-0.0798910036683,13.8888893127,7.0,1,-3.17777585983,13.1638326645,4.63266611099,13.8888893127,7.0,2
1523727919139045000,4.60042905807,-11.7763195038,-3.29337406158,0.0823887214065,13.8888893127,7.0,1,-3.28863573074,11.7762136459,4.79494571686,13.8888893127,7.0,2
1523727919238115072,4.70065593719,-10.3945360184,-3.17927241325,-0.0792436376214,13.8888893127,7.0,1,-3.1743016243,10.394449234,4.63331365585,13.8888893127,7.0,2
1523727919338185071,4.80048298836,-9.01222229004,-3.28904175758,0.082409568131,13.8888893127,7.0,1,-3.28383851051,9.01211643219,4.79496669769,13.8888893127,7.0,2
1523727919438505887,4.90032291412,-7.62583017349,-3.17453050613,0.101705603302,13.8888893127,7.0,1,-3.16909408569,7.6257443428,4.63279533386,13.8888893127,7.0,2
1523727919539472103,5.00048303604,-6.24127340317,-3.03322577477,0.263951361179,13.8888893127,7.0,1,-3.27975177765,6.2384018898,4.79504108429,13.8888893127,7.0,2
1523727919638577938,5.10068893433,-4.90351486206,-2.67168712616,0.345198363066,13.8888893127,7.0,1,-3.1653470993,4.857380867,4.63349437714,13.8888893127,7.0,2
1523727919737914085,5.20046305656,-3.5977101326,-2.2021241188,0.506968140602,13.8888893127,7.0,1,-3.27471327782,3.47403168678,4.79526376724,13.8888893127,7.0,2
1523727919837619066,5.30037498474,-2.38392710686,-1.52800738811,0.579134047031,13.8888893127,7.0,1,-3.15977978706,2.09037947655,4.6334066391,13.8888893127,7.0,2
1523727919938581943,5.40034103394,-1.22157406807,-0.767908096313,0.741038143635,13.8888893127,7.0,1,-3.26935791969,0.705891132355,4.79531049728,13.8888893127,7.0,2
1523727920038980007,5.50033593178,-0.195409223437,0.171027585864,0.798222541809,13.8888893127,7.0,1,-3.15415382385,-0.680233895779,4.63316345215,13.8888893127,7.0,2
1523727920138829946,5.60048103333,0.773503601551,1.1651160717,0.960050582886,13.8888893127,7.0,1,-3.2640171051,-2.06404519081,4.79499149323,13.8888893127,7.0,2
1523727920238609075,5.70042896271,1.57016789913,2.30315995216,1.02801787853,13.8888893127,7.0,1,-3.14939808846,-3.44848775864,4.63304519653,13.8888893127,7.0,2
1523727920338366031,5.80044984818,2.28739643097,3.49217438698,1.18989491463,13.8888893127,7.0,1,-3.25945806503,-4.83270549774,4.79492235184,13.8888893127,7.0,2
1523727920438498020,5.90042805672,2.80369997025,4.78145551682,1.30756616592,13.8888893127,7.0,1,-3.14496421814,-6.21679592133,4.63301801682,13.8888893127,7.0,2
1523727920538440942,6.00042295456,3.16522741318,6.12301397324,1.42311525345,13.8888893127,7.0,1,-3.25512766838,-7.60183906555,4.7949924469,13.8888893127,7.0,2
1523727920638326883,6.10046100616,3.36939930916,7.49546670914,1.47853016853,13.8888893127,7.0,1,-3.14064145088,-8.98466396332,4.63323497772,13.8888893127,7.0,2
1523727920737471103,6.20036506653,3.49730610847,8.87781047821,1.54764032364,13.8888893127,7.0,1,-3.25041174889,-10.3685665131,4.79507303238,13.8888893127,7.0,2
