(1.2, [(-3.25, 108.33058166503906, 4.71238899230957, 13.88888931274414), (3.25, -58.207945470456714, 1.5707963267948966, 13.88888888888889)], (1, 'left', 'stop'))
(1.25, [(-3.25, 107.63607788085938, 4.71238899230957, 13.88888931274414), (3.25, -57.634268425129065, 1.5707963267948966, 13.88888888888889)], (1, 'left', 'stop'))
(1.35, [(-3.25, 106.23666381835938, 4.71238899230957, 13.88888931274414), (3.25, -56.231786586620174, 1.5707963267948966, 13.88888888888889)], (1, 'left', 'stop'))
(1.4, [(-3.25, 105.55180358886719, 4.71238899230957, 13.88888931274414), (3.25, -55.55174174132169, 1.5707963267948966, 13.88888888888889)], (1, 'left', 'stop'))
(1.45, [(-3.25, 104.83563232421875, 4.71238899230957, 13.88888931274414), (3.25, -54.85857504385488, 1.5707963267948966, 13.88888888888889)], (1, 'left', 'stop'))
(1.55, [(-3.25, 103.4693374633789, 4.71238899230957, 13.88888931274414), (3.25, -53.459362630490894, 1.5707963267948966, 13.88888888888889)], (1, 'left', 'stop'))
(1.6, [(-3.25, 102.77454376220703, 4.71238899230957, 13.88888931274414), (3.25, -52.753036552005334, 1.5707963267948966, 13.88888888888889)], (1, 'left', 'stop'))
(1.65, [(-3.25, 102.08033752441406, 4.71238899230957, 13.88888931274414), (3.25, -52.080342946229145, 1.5707963267948966, 13.88888888888889)], (1, 'left', 'stop'))
(1.75, [(-3.25, 100.69132232666016, 4.71238899230957, 13.88888931274414), (3.25, -50.691751197532355, 1.5707963267948966, 13.88888888888889)], (1, 'left', 'stop'))
(1.8, [(-3.25, 99.99699401855469, 4.71238899230957, 13.88888931274414), (3.25, -49.996990627712655, 1.5707963267948966, 13.88888888888889)], (1, 'left', 'stop'))
(1.85, [(-3.25, 99.30258178710938, 4.71238899230957, 13.88888931274414), (3.25, -49.30289012414436, 1.5707963267948966, 13.88888888888889)], (1, 'left', 'stop'))
(1.95, [(-3.25, 97.91361999511719, 4.71238899230957, 13.88888931274414), (3.25, -47.91400918254144, 1.5707963267948966, 13.88888888888889)], (1, 'left', 'stop'))
(2.0, [(-3.25, 97.21945190429688, 4.71238899230957, 13.88888931274414), (3.25, -47.21952897531013, 1.5707963267948966, 13.88888888888889)], (1, 'left', 'stop'))
(2.05, [(-3.25, 96.5248031616211, 4.71238899230957, 13.88888931274414), (3.25, -46.47789045616431, 1.5707963267948966, 13.88888888888889)], (1, 'left', 'stop'))
(2.1, [(-3.25, 95.8304214477539, 4.71238899230957, 13.88888931274414), (3.25, -45.83066790192214, 1.5707963267948966, 13.88888888888889)], (1, 'left', 'stop'))
(2.2, [(-3.25, 94.44154357910156, 4.71238899230957, 13.88888931274414), (3.25, -44.44183331948738, 1.5707963267948966, 13.88888888888889)], (1, 'left', 'stop'))
(2.25, [(-3.25, 93.74273681640625, 4.71238899230957, 13.88888931274414), (3.25, -43.74726039391975, 1.5707963267948966, 13.88888888888889)], (1, 'left', 'stop'))
(2.3, [(-3.25, 93.05271911621094, 4.71238899230957, 13.88888931274414), (3.25, -43.05298107641713, 1.5707963267948966, 13.88888888888889)], (1, 'left', 'stop'))
(2.35, [(-3.25, 92.35814666748047, 4.71238899230957, 13.88888931274414), (3.25, -42.358573719307216, 1.5707963267948966, 13.88888888888889)], (1, 'left', 'stop'))
(2.45, [(-3.25, 90.96955108642578, 4.71238899230957, 13.88888931274414), (3.25, -40.96963979579783, 1.5707963267948966, 13.88888888888889)], (1, 'left', 'stop'))
(2.5, [(-3.25, 90.27470397949219, 4.71238899230957, 13.88888931274414), (3.25, -40.2638347060592, 1.5707963267948966, 13.88888888888889)], (1, 'left', 'stop'))
(2.55, [(-3.25, 89.58036804199219, 4.71238899230957, 13.88888931274414), (3.25, -39.58080521336307, 1.5707963267948966, 13.88888888888889)], (1, 'left', 'stop'))
(2.65, [(-3.25, 88.19170379638672, 4.71238899230957, 13.88888931274414), (3.25, -38.18158396968134, 1.5707963267948966, 13.88888888888889)], (1, 'left', 'stop'))
(2.7, [(-3.25, 87.49578094482422, 4.71238899230957, 13.88888931274414), (3.25, -37.403758808418544, 1.5707963267948966, 13.88888888888889)], (1, 'left', 'stop'))
(2.75, [(-3.25, 86.79409790039062, 4.71238899230957, 13.88888931274414), (3.25, -36.77242641095761, 1.5707963267948966, 13.88888888888889)], (1, 'left', 'stop'))
(2.85, [(-3.25, 85.41365051269531, 4.71238899230957, 13.88888931274414), (3.25, -35.40383312437268, 1.5707963267948966, 13.88888888888889)], (1, 'left', 'stop'))
(2.9, [(-3.25, 84.71928405761719, 4.71238899230957, 13.88888931274414), (3.25, -34.644547215214466, 1.5707963267948966, 13.88888888888889)], (1, 'left', 'stop'))
