(0.06, [(3.25, -84.15389251708984, 1.5707963705062866, 14.249881744384766), (-3.25, 124.16575021213959, 4.71238898038469, 13.88888888888889)], (1, 'straight', 'go'))
(0.062, [(3.25, -84.126708984375, 1.5707963705062866, 14.261327743530273), (-3.25, 124.13807246420122, 4.71238898038469, 13.88888888888889)], (1, 'straight', 'go'))
(0.064, [(3.25, -84.09827423095703, 1.5707963705062866, 14.273289680480957), (-3.25, 124.1102668974135, 4.71238898038469, 13.88888888888889)], (1, 'straight', 'go'))
(0.066, [(3.25, -84.0694580078125, 1.5707963705062866, 14.285404205322266), (-3.25, 124.08252225981822, 4.71238898038469, 13.88888888888889)], (1, 'straight', 'go'))
(0.068, [(3.25, -84.04104614257812, 1.5707963705062866, 14.297337532043457), (-3.25, 124.05476106537716, 4.71238898038469, 13.88888888888889)], (1, 'straight', 'go'))
(0.07, [(3.25, -84.01028442382812, 1.5707963705062866, 14.3102445602417), (-3.25, 124.02693033218387, 4.71238898038469, 13.88888888888889)], (1, 'straight', 'go'))
(0.072, [(3.25, -83.98392486572266, 1.5707963705062866, 14.32129955291748), (-3.25, 123.99889694319833, 4.71238898038469, 13.88888888888889)], (1, 'straight', 'go'))
(0.074, [(3.25, -83.95550537109375, 1.5707963705062866, 14.333203315734863), (-3.25, 123.97133641772803, 4.71238898038469, 13.88888888888889)], (1, 'straight', 'go'))
(0.076, [(3.25, -83.92672729492188, 1.5707963705062866, 14.34525203704834), (-3.25, 123.94356926282249, 4.71238898038469, 13.88888888888889)], (1, 'straight', 'go'))
(0.078, [(3.25, -83.8980484008789, 1.5707963705062866, 14.357245445251465), (-3.25, 123.9156332280901, 4.71238898038469, 13.88888888888889)], (1, 'straight', 'go'))
(0.08, [(3.25, -83.8688735961914, 1.5707963705062866, 14.369438171386719), (-3.25, 123.88763626416527, 4.71238898038469, 13.88888888888889)], (1, 'straight', 'go'))
(0.082, [(3.25, -83.84050750732422, 1.5707963705062866, 14.3812837600708), (-3.25, 123.86014991336401, 4.71238898038469, 13.88888888888889)], (1, 'straight', 'go'))
